qr,barcode
2941894672447,95
35897376047501860,13
16042,25
9301779799930521,59
921756952796601,77
0589632072709,14
30582954351068193,17
79808973989551,44
1950221984954496,57
53175697648117,65
53445661,95
5651346220933,74
4533630,18
87793446409179272434,62
66733093,88
068749080958,11
240932,37
0494629939,57
75456403850447,27
8884444006,99
361675890397,18
03134881,28
9878076684768,73
37493549977190055291,26
47518593,38
3023813100247829,71
1913204854643014637,56
8141398361516,18
50545567389893,44
815776461,14
46568429460696451,18
426651005479471590,90
3322355771363,96
76665802,12
136063520145536,68
85830729134812084091,45
799697628353565773,91
7636339791,68
70282,21
154744,08
629730282,26
595599913,22
462862808,12
734083283665,28
38102,74
256068,21
199728573907845,76
38092123953958,35
99770,28
2553563215815,80
884784402034314,27
138649882,50
3681619009,33
819203,65
8437357917527460,73
716906,65
0899990029864,77
4935826504715,81
3930458729055,30
1642086853794035867,73
63266606493730551769,51
84364212211104389,53
7612415025528,88
8560554632,75
90543561829064,89
06761834662486,37
73998232095,05
63580094,21
597908,44
82071754444323982155,25
2748867614,60
29131,32
86558357917398584744,12
0938110540290213,21
276819086191576,28
1312956063,45
18322629271,08
0071949189542,06
809245183,80
42539622978630,57
2490298810,65
228023314,48
7866079,66
968058464,48
0200165582610345424,24
6184905,19
992257549520,57
5782629767,90
30092076549298,81
738923578083,75
923070604554413381,50
22957233291696334864,90
8565751540610671,73
9399313659726450,96
23661003750,30
685542141479948,53
65561212708173857824,47
28908989476976,09
260712,51
46050696076729,91
